step,reward,loss,epsilon,hit
202,1.0,,0.9760125,True
203,1.0,,0.97589375,True
204,-0.1,,0.9757750000000001,False
205,-0.09000000000000001,,0.97565625,False
206,1.0,,0.9755375,True
207,-0.1,,0.97541875,False
208,1.0,,0.9753000000000001,True
209,-0.1,,0.97518125,False
210,-0.1,,0.9750625,False
211,-0.1,,0.97494375,False
212,-0.09000000000000001,,0.974825,False
213,-0.1,,0.97470625,False
214,-0.09000000000000001,,0.9745875,False
215,-0.1,,0.97446875,False
216,1.0,,0.97435,True
217,-0.09000000000000001,,0.97423125,False
218,-0.1,,0.9741125,False
219,-0.1,,0.97399375,False
220,-0.1,,0.973875,False
221,-0.1,,0.97375625,False
222,-0.09000000000000001,,0.9736375,False
223,-0.1,,0.97351875,False
224,-0.1,,0.9734,False
225,-0.09000000000000001,,0.97328125,False
226,-0.09000000000000001,,0.9731625,False
227,-0.09000000000000001,,0.97304375,False
228,-0.09000000000000001,,0.972925,False
229,1.0,,0.97280625,True
230,1.0,,0.9726875,True
231,-0.1,,0.97256875,False
232,-0.1,,0.97245,False
233,-0.1,,0.97233125,False
234,-0.1,,0.9722125,False
235,1.0,,0.97209375,True
236,1.6,,0.971975,True
237,-0.1,,0.97185625,False
238,-0.1,,0.9717375,False
239,-0.1,,0.97161875,False
240,-0.1,,0.9715,False
241,-0.1,,0.97138125,False
242,-0.1,,0.9712625,False
243,-0.1,,0.97114375,False
244,-0.1,,0.971025,False
245,-0.1,,0.97090625,False
246,-0.1,,0.9707875,False
247,-0.1,,0.97066875,False
248,-0.1,,0.97055,False
249,-0.1,,0.97043125,False
250,-0.1,,0.9703125,False
251,-0.1,,0.97019375,False
252,-0.1,,0.970075,False
253,1.0,,0.96995625,True
254,-0.1,,0.9698375,False
255,-0.1,,0.96971875,False
256,-0.1,,0.9696,False
257,-0.1,,0.96948125,False
258,-0.1,,0.9693625,False
259,1.6,,0.96924375,True
260,1.0,,0.969125,True
261,-0.1,,0.96900625,False
262,-0.1,,0.9688875,False
263,-0.1,,0.96876875,False
264,-0.1,,0.96865,False
265,-0.1,,0.96853125,False
266,1.0,,0.9684125,True
267,1.0,,0.96829375,True
268,-0.1,,0.968175,False
269,-0.1,,0.96805625,False
270,-0.1,,0.9679375,False
271,-0.1,,0.96781875,False
272,-0.1,,0.9677,False
273,-0.1,,0.96758125,False
274,-0.1,,0.9674625,False
275,-0.1,,0.96734375,False
276,-0.1,,0.967225,False
277,-0.1,,0.9671062500000001,False
278,-0.1,,0.9669875,False
279,-0.09000000000000001,,0.9668687499999999,False
280,-0.09000000000000001,,0.96675,False
281,-0.1,,0.96663125,False
282,-0.04,,0.9665125,False
283,-0.05,,0.96639375,False
284,-0.1,,0.966275,False
285,-0.1,,0.96615625,False
286,-0.05,,0.9660375,False
287,-0.05,,0.96591875,False
288,-0.04,,0.9658,False
289,-0.09000000000000001,,0.96568125,False
290,-0.04,,0.9655625,False
291,-0.09000000000000001,,0.96544375,False
292,-0.05,,0.965325,False
293,1.1,,0.96520625,True
294,-0.04,,0.9650875,False
295,-0.05,,0.96496875,False
296,-0.05,,0.96485,False
297,-0.05,,0.96473125,False
298,-0.1,,0.9646125,False
299,-0.04,,0.96449375,False
300,1.6,,0.964375,True
301,-0.05,,0.96425625,False
302,-0.05,,0.9641375,False
303,-0.05,,0.96401875,False
304,-0.09000000000000001,,0.9639,False
305,-0.05,,0.96378125,False
306,-0.05,,0.9636625,False
307,-0.05,,0.96354375,False
308,-0.04,,0.963425,False
309,-0.05,,0.96330625,False
310,-0.05,,0.9631875,False
311,-0.04,,0.96306875,False
312,-0.05,,0.96295,False
313,-0.09000000000000001,,0.96283125,False
314,-0.04,,0.9627125,False
315,-0.05,,0.96259375,False
316,-0.05,,0.962475,False
317,-0.05,,0.96235625,False
318,-0.05,,0.9622375,False
319,-0.05,,0.96211875,False
320,-0.05,,0.962,False
321,-0.05,,0.96188125,False
322,1.1,,0.9617625,True
323,-0.1,,0.96164375,False
324,-0.1,,0.961525,False
325,-0.1,,0.96140625,False
326,-0.1,,0.9612875,False
327,-0.05,,0.96116875,False
328,-0.05,,0.96105,False
329,-0.05,,0.96093125,False
330,-0.05,,0.9608125,False
331,-0.05,,0.96069375,False
332,1.4,,0.960575,True
333,-0.1,,0.96045625,False
334,-0.05,,0.9603375,False
335,-0.1,,0.96021875,False
336,-0.1,,0.9601,False
337,-0.05,,0.95998125,False
338,-0.1,,0.9598625,False
339,-0.1,,0.95974375,False
340,-0.1,,0.959625,False
341,-0.1,,0.95950625,False
342,-0.1,,0.9593875,False
343,-0.05,,0.95926875,False
344,-0.05,,0.95915,False
345,-0.1,,0.95903125,False
346,-0.05,,0.9589125000000001,False
347,-0.1,,0.95879375,False
348,-0.1,,0.958675,False
349,-0.05,,0.95855625,False
350,-0.1,,0.9584375,False
351,-0.04,,0.95831875,False
352,-0.1,,0.9582,False
353,-0.09000000000000001,,0.95808125,False
354,-0.05,,0.9579625,False
355,1.0,,0.95784375,True
356,-0.05,,0.957725,False
357,-0.1,,0.95760625,False
358,-0.05,,0.9574875,False
359,1.0,,0.95736875,True
360,-0.05,,0.95725,False
361,-0.05,,0.95713125,False
362,-0.05,,0.9570125,False
363,-0.04,,0.95689375,False
364,-0.05,,0.956775,False
365,-0.05,,0.95665625,False
366,-0.1,,0.9565375,False
